species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Hs	CTRB2	Acinar cells	NA	0.001	chymotrypsinogen B2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.00125786	0.0
Mm Hs	PLA2G1B	Acinar cells	PLA2|PPLA2|PLA2A	0.007	phospholipase A2 group IB	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.228571	0.00157233	0.00638092
Mm Hs	PRSS2	Acinar cells	TRY2	0.01	serine protease 2	protein-coding gene	1	Endoderm	Pancreas	1.0	0.7	0.0103774	0.00696101
Mm Hs	CLPS	Acinar cells	NA	0.021	colipase	protein-coding gene	1	Endoderm	Pancreas	0.583333	0.957143	0.000314465	0.0215276
Hs	REG1A	Acinar cells	PSPS|PSPS1|REG	0.005	regenerating family member 1 alpha	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0273585	0.0
Mm Hs	SYCN	Acinar cells	SYL|FLJ27441|INSSA1	0.008	syncollin	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.0	0.00157233	0.0
Mm Hs	PNLIPRP1	Acinar cells	PLRP1	0.008	pancreatic lipase related protein 1	protein-coding gene	1	Endoderm	Pancreas	0.5	0.628571	0.0	0.00663874
Mm Hs	CTRC	Acinar cells	CLCR|ELA4	0.003	chymotrypsin C	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.414286	0.0	0.00135353
Mm Hs	REG3A	Acinar cells	REG-III|REG3|PBCGF	0.005	regenerating family member 3 alpha	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.0106918	0.0
Hs	SERPINA3	Acinar cells	AACT	0.0	serpin family A member 3	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.000314465	0.0
Mm Hs	PRSS3	Acinar cells	TRY4|PRSS4	0.006	serine protease 3	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.0285714	0.0289308	0.0
Hs	REG1B	Acinar cells	PSPS2|REGH|REGI-BETA	0.002	regenerating family member 1 beta	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.0110063	0.0
Mm Hs	CFB	Acinar cells	H2-Bf|BFD|BF	0.001	complement factor B	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	0.00154689
Mm Hs	GDF15	Acinar cells	PLAB|MIC-1|PDF|NAG-1|PTGFB	0.014	growth differentiation factor 15	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.0	0.054088	0.00309378
Mm Hs	MUC1	Acinar cells	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1	0.016	mucin 1, cell surface associated	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.185714	0.0295597	0.0117306
Hs	C15ORF48	Acinar cells	NMES1|MIR147BHG	0.018	chromosome 15 open reading frame 48	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.109119	0.0
Mm Hs	DUOXA2	Acinar cells	NA	0.0	dual oxidase maturation factor 2	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	0.000128908
Hs	AKR1C3	Acinar cells	KIAA0119|DDX|HAKRB|PGFS|HSD17B5	0.007	aldo-keto reductase family 1 member C3	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0389937	0.0
Mm Hs	OLFM4	Acinar cells	OlfD|GW112	0.013	olfactomedin 4	protein-coding gene	1	Endoderm	Pancreas	0.583333	0.0	0.0132075	0.0126974
Mm Hs	GSTA1	Acinar cells	NA	0.012	glutathione S-transferase alpha 1	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0	0.0267296	0.00837899
Mm Hs	LGALS2	Acinar cells	HL14	0.032	galectin 2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0142857	0.0345912	0.0308733
Mm Hs	PDZK1IP1	Acinar cells	DD96|MAP17|SPAP	0.025	PDZK1 interacting protein 1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.114286	0.0396226	0.0228166
Mm Hs	RARRES2	Acinar cells	TIG2|HP10433	0.03	retinoic acid receptor responder 2	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0751572	0.0
Mm Hs	CXCL17	Acinar cells	Dcip1|UNQ473|VCC1	0.007	C-X-C motif chemokine ligand 17	protein-coding gene	1	Endoderm	Pancreas	0.75	0.0	0.0248428	0.00367386
Mm Hs	UBD	Acinar cells	FAT10	0.0	ubiquitin D	protein-coding gene	1	Endoderm	Pancreas	NA	NA	NA	NA
Mm Hs	GSTA2	Acinar cells	GST2	0.007	glutathione S-transferase alpha 2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.0142857	0.00628931	0.00650983
Mm Hs	ANPEP	Acinar cells	gp150|CD13|PEPN	0.015	alanyl aminopeptidase, membrane	protein-coding gene	1	Endoderm	Pancreas	0.75	0.0714286	0.0100629	0.0166291
Hs	LYZ	Acinar cells	NA	0.008	lysozyme	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0408805	0.0
Mm Hs	ANGPTL4	Acinar cells	pp1158|PGAR|ARP4|HFARP|FIAF	0.031	angiopoietin like 4	protein-coding gene	1	Endoderm	Pancreas	0.166667	0.0	0.0295597	0.0329359
Mm Hs	ALDOB	Acinar cells	NA	0.031	aldolase, fructose-bisphosphate B	protein-coding gene	1	Endoderm	Pancreas	0.583333	0.0428571	0.00408805	0.0370609
Mm Hs	CEBPA	Adipocyte progenitor cells	C/EBP-alpha|CEBP	0.025	CCAAT enhancer binding protein alpha	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0299647
Mm Hs	EGFR	Adipocyte progenitor cells	ERBB1|ERBB	0.014	epidermal growth factor receptor	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0222431	0.0127687
Mm Hs	FGF10	Adipocyte progenitor cells	NA	0.001	fibroblast growth factor 10	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000626566	0.00173244
Mm Hs	GSC	Adipocyte progenitor cells	NA	0.001	goosecoid homeobox	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0	0.000769971
Mm Hs	MMP3	Adipocyte progenitor cells	STMY1|STMY	0.003	matrix metallopeptidase 3	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00219298	0.00301572
Mm Hs	PPARG	Adipocyte progenitor cells	PPARG1|PPARG2|NR1C3|PPARgamma	0.006	peroxisome proliferator activated receptor gamma	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0109649	0.00461983
Mm Hs	TWIST2	Adipocyte progenitor cells	DERMO1|Dermo-1|bHLHa39	0.012	twist family bHLH transcription factor 2	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00689223	0.0
Mm Hs	GATA3	Adipocyte progenitor cells	HDR	0.03	GATA binding protein 3	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0200501	0.0297722
Mm Hs	GLI1	Adipocyte progenitor cells	GLI	0.0	GLI family zinc finger 1	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0	0.000192493
Mm Hs	SMO	Adipocyte progenitor cells	FZD11|SMOH	0.005	smoothened, frizzled class receptor	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	STAB1	Adipocyte progenitor cells	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2	0.018	stabilin 1	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00250627	0.0
Mm Hs	WISP2	Adipocyte progenitor cells	CTGF-L|CCN5	0.005	WNT1 inducible signaling pathway protein 2	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00657895	0.0
Mm Hs	WT1	Adipocyte progenitor cells	WIT-2|AWT1|NPHS4|GUD	0.01	Wilms tumor 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0225564	0.0
Mm Hs	SCARA5	Adipocyte progenitor cells	FLJ23907|MGC45780|NET33	0.007	scavenger receptor class A member 5	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0115915	0.0
Mm Hs	HOXC8	Adipocyte progenitor cells	HOX3A	0.005	homeobox C8	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00313283	0.00532563
Mm Hs	TCF7L1	Adipocyte progenitor cells	TCF3	0.009	transcription factor 7 like 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00845865	0.0
Mm Hs	HOXC9	Adipocyte progenitor cells	HOX3B	0.007	homeobox C9	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0159774	0.00494065
Mm Hs	HOXC6	Adipocyte progenitor cells	HOX3C	0.004	homeobox C6	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00595238	0.00429901
Mm Hs	HOXC4	Adipocyte progenitor cells	HOX3E	0.002	homeobox C4	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0	0.00275906
Hs	ZNF521	Adipocyte progenitor cells	EHZF|Evi3	0.002	zinc finger protein 521	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0103383	0.0
Mm Hs	SULT1E1	Adipocyte progenitor cells	STE	0.002	sulfotransferase family 1E member 1	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.00595238	0.0
Mm Hs	EBF2	Adipocyte progenitor cells	FLJ11500|COE2	0.006	early B cell factor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00125313	0.00705807
Mm Hs	NRG4	Adipocyte progenitor cells	NA	0.001	neuregulin 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00156642	0.000320821
Mm Hs	SLC36A2	Adipocytes	PAT2|tramdorin|TRAMD1	0.003	solute carrier family 36 member 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	P2RX5	Adipocytes	P2X5	0.0	purinergic receptor P2X 5	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00188383	0.0
Mm Hs	LEP	Adipocytes	OBS	0.0	leptin	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	UCP1	Adipocytes	SLC25A7|UCP	0.0	uncoupling protein 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	CIDEA	Adipocytes	CIDE-A	0.004	cell death-inducing DFFA-like effector a	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.5	0.0	0.0046864
Mm Hs	PRDM16	Adipocytes	MEL1|PFM13|KIAA1675|MGC166915|KMT8F	0.001	PR/SET domain 16	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00125589	0.000962958
Mm Hs	LHX8	Adipocytes	Lhx7	0.001	LIM homeobox 8	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.00154073
Mm Hs	EPSTI1	Adipocytes	BRESI1|MGC29634	0.041	epithelial stromal interaction 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0291994	0.0431405
Mm Hs	MC2R	Adipocytes	ACTHR	0.0	melanocortin 2 receptor	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	FFAR2	Adipocytes	FFA2R|GPR43	0.01	free fatty acid receptor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.125	0.0	0.0121975
Mm Hs	PIKFYVE	Adipocytes	MGC40423|KIAA0981|PIKfyve|PIP5K|p235|ZFYVE29|FAB1|PIP5K3	0.003	phosphoinositide kinase, FYVE-type zinc finger containing	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00345369	0.00295307
Mm Hs	CYP11B2	Adipocytes	CYP11BL|P-450C18|P450aldo|ALDOS	0.0	cytochrome P450 family 11 subfamily B member 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	TLR2	Adipocytes	TIL4|CD282	0.014	toll like receptor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000941915	0.0
Mm Hs	TLR4	Adipocytes	hToll|CD284|TLR-4|ARMD10	0.0	toll like receptor 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000313972	0.0
Mm Hs	ADRB1	Adipocytes	ADRB1R	0.002	adrenoceptor beta 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0021978	0.0023753
Mm Hs	ADRB2	Adipocytes	ADRBR|B2AR|ADRB2R	0.016	adrenoceptor beta 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0100471	0.0181678
Mm Hs	ADRB3	Adipocytes	NA	0.0	adrenoceptor beta 3	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.125	0.0	0.000577775
Mm Hs	FABP4	Adipocytes	A-FABP|aP2	0.028	fatty acid binding protein 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0103611	0.0327406
Mm Hs	TNFRSF9	Adipocytes	CD137|4-1BB|ILA	0.003	TNF receptor superfamily member 9	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00345369	0.0
Mm Hs	TBX1	Adipocytes	VCF	0.003	T-box 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000941915	0.0
Mm Hs	TMEM26	Adipocytes	MGC35010|Em:AC068892.1	0.002	transmembrane protein 26	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0	0.0
Mm Hs	TCF21	Adipocytes	POD1|bHLHa23	0.014	transcription factor 21	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00596546	0.0
Mm Hs	ADIPOQ	Adipocytes	ACRP30|AdipoQ|apM1|GBP28|adiponectin|ACDC	0.004	adiponectin, C1Q and collagen domain containing	protein-coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0	0.00404442
Mm Hs	CFD	Adipocytes	ADN|DF|PFD	0.018	complement factor D	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.75	0.0989011	0.000770367
Mm Hs	ACVR1C	Adipocytes	ALK7|ACVRLK7	0.002	activin A receptor type 1C	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.125	0.00282575	0.00147654
Mm Hs	SLC2A4	Adipocytes	GLUT4	0.001	solute carrier family 2 member 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00251177	0.0
Mm Hs	LPIN1	Adipocytes	KIAA0188	0.012	lipin 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.125	0.0260597	0.0091802
Mm Hs	PLIN1	Adipocytes	PLIN	0.0	perilipin 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.5	0.0	0.000192592
Mm Hs	PCK1	Adipocytes	PEPCK-C	0.008	phosphoenolpyruvate carboxykinase 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.5	0.0156986	0.00725429
Mm Hs	PPARG	Adipocytes	PPARG1|PPARG2|NR1C3|PPARgamma	0.006	peroxisome proliferator activated receptor gamma	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.375	0.010989	0.00442961
Mm Hs	RETN	Adipocytes	FIZZ3|ADSF|RETN1	0.001	resistin	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00533752	0.0
Mm Hs	MEST	Adipocytes	PEG1	0.039	mesoderm specific transcript	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.103925	0.0207357
Mm Hs	ADM2	Adipocytes	AM2|FLJ21135	0.0	adrenomedullin 2	protein-coding gene	1	Mesoderm	Connective tissue	0.142857	0.0	0.0	0.000128394
Mm Hs	STAT6	Adipocytes	D12S1644|IL-4-STAT	0.01	signal transducer and activator of transcription 6	protein-coding gene	1	Mesoderm	Connective tissue	0.714286	0.0	0.00659341	0.0
Mm Hs	TFE3	Adipocytes	TFEA|bHLHe33	0.005	transcription factor binding to IGHM enhancer 3	protein-coding gene	1	Mesoderm	Connective tissue	0.714286	0.0	0.00345369	0.0
Mm Hs	CPPED1	Adipocytes	CSTP1|FLJ11151	0.008	calcineurin like phosphoesterase domain containing 1	protein-coding gene	1	Mesoderm	Connective tissue	0.428571	0.125	0.010989	0.00731848
Mm Hs	APPL2	Adipocytes	FLJ10659|DIP13B	0.011	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	protein-coding gene	NA	Mesoderm	Connective tissue	0.714286	0.0	0.0043956	0.012711
Mm Hs	APOL6	Adipocytes	APOL-VI|APOLVI	0.003	apolipoprotein L6	protein-coding gene	NA	Mesoderm	Connective tissue	0.714286	0.0	0.0172684	0.0
Mm Hs	PXMP2	Adipocytes	PMP22	0.007	peroxisomal membrane protein 2	protein-coding gene	NA	Mesoderm	Connective tissue	0.571429	0.125	0.022606	0.0023753
Hs	CAVIN1	Adipocytes	cavin-1|CGL4|PTRF	0.023	caveolae associated protein 1	protein-coding gene	1	Mesoderm	Connective tissue	1.0	0.0	0.129356	0.0
Mm Hs	AGT	Adipocytes	SERPINA8	0.02	angiotensinogen	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.375	0.0160126	0.0212493
Mm Hs	SLC1A5	Adipocytes	AAAT|ASCT2|RDRC|M7V1	0.038	solute carrier family 1 member 5	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0464678	0.0
Mm Hs	ACSL1	Adipocytes	LACS|ACS1|LACS1|FACL1|FACL2	0.022	acyl-CoA synthetase long chain family member 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.375	0.0191523	0.0231752
Mm	CAR3	Adipocytes	NA	0.007	carbonic anhydrase 3	protein coding gene	1	Mesoderm	Connective tissue	0.0	1.0	0.0	0.00783206
Mm Hs	BCAT2	Adipocytes	BCAM|BCT2	0.021	branched chain amino acid transaminase 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.25	0.0144427	0.0202221
Mm Hs	PNPLA2	Adipocytes	desnutrin|TTS-2.2|ATGL|FP17548|iPLA2zeta	0.02	patatin like phospholipase domain containing 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.875	0.0160126	0.0202863
Mm Hs	CIDEC	Adipocytes	CIDE-3|FLJ20871|Fsp27	0.002	cell death inducing DFFA like effector c	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.75	0.0	0.00218271
Mm Hs	CDO1	Adipocytes	NA	0.036	cysteine dioxygenase type 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.5	0.0119309	0.0415998
Mm Hs	APOC1	Adipocytes	NA	0.047	apolipoprotein C1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.75	0.078179	0.0360146
Mm Hs	MMP2	Adipocytes	TBE-1|CLG4|CLG4A	0.045	matrix metallopeptidase 2	protein-coding gene	1	Mesoderm	Connective tissue	1.0	0.0	0.0656201	0.0385825
Mm Hs	POSTN	Adipocytes	OSF-2|PN|periostin	0.033	periostin	protein-coding gene	1	Mesoderm	Connective tissue	0.285714	0.0	0.022606	0.0347307
Mm Hs	LOX	Adipocytes	NA	0.017	lysyl oxidase	protein-coding gene	1	Mesoderm	Connective tissue	0.285714	0.25	0.0144427	0.0167555
Mm Hs	COL6A2	Adipocytes	NA	0.056	collagen type VI alpha 2 chain	protein-coding gene	1	Mesoderm	Connective tissue	1.0	0.25	0.101413	0.0441035
Mm Hs	ZBTB16	Adipocytes	PLZF|ZNF145	0.007	zinc finger and BTB domain containing 16	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0119309	0.0
Mm Hs	GULP1	Adipocytes	CED6|CED-6|GULP	0.01	GULP, engulfment adaptor PTB domain containing 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0298273	0.0046222
Mm Hs	FZD4	Adipocytes	CD344	0.007	frizzled class receptor 4	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.25	0.000627943	0.00847403
Mm Hs	TRIP10	Adipocytes	HSTP|CIP4|STOT	0.007	thyroid hormone receptor interactor 10	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00502355	0.0
Mm Hs	FGF7	Adipocytes	KGF	0.005	fibroblast growth factor 7	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.25	0.011303	0.00423702
Mm Hs	MAOB	Adipocytes	NA	0.009	monoamine oxidase B	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.125	0.00973312	0.00937279
Mm Hs	SOCS1	Adipocytes	SOCS-1|SSI-1|JAB|TIP3|Cish1	0.012	suppressor of cytokine signaling 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0197802	0.0
Mm Hs	ARNT	Adipocytes	HIF-1beta|bHLHe2	0.005	aryl hydrocarbon receptor nuclear translocator	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.000627943	0.00590614
Mm Hs	SULT1A1	Adipocytes	P-PST|STP1	0.012	sulfotransferase family 1A member 1	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.0	0.0204082	0.0
Mm Hs	NNMT	Adipocytes	NA	0.017	nicotinamide N-methyltransferase	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.375	0.0605965	0.00770367
Mm Hs	AOC3	Adipocytes	VAP1|HPAO|VAP-1	0.004	amine oxidase, copper containing 3	protein-coding gene	1	Mesoderm	Connective tissue	0.142857	0.25	0.00251177	0.00430121
Mm Hs	H6PD	Adipocytes	NA	0.005	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.375	0.00125589	0.00558516
Mm Hs	CYP27A1	Adipocytes	CTX|CYP27	0.006	cytochrome P450 family 27 subfamily A member 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0150706	0.00391603
Mm Hs	EBF2	Adipocytes	FLJ11500|COE2	0.006	early B cell factor 2	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00125589	0.00706169
Mm Hs	MNDA	Adipocytes	PYHIN3	0.019	myeloid cell nuclear differentiation antigen	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.0461538	0.0130962
Mm Hs	HSD11B1	Adipocytes	SDR26C1|HSD11B|HSD11	0.022	hydroxysteroid 11-beta dehydrogenase 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.125	0.00973312	0.0244591
Mm Hs	AR	Adipocytes	AIS|NR3C4|SMAX1|HUMARA|DHTR|SBMA	0.013	androgen receptor	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.25	0.00188383	0.0158567
Mm Hs	GDF10	Adipocytes	BMP-3b	0.005	growth differentiation factor 10	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.000313972	0.00654812
Mm Hs	CYP1B1	Adipocytes	CP1B|GLC3A	0.016	cytochrome P450 family 1 subfamily B member 1	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.25	0.0492936	0.00885922
Mm Hs	COL5A3	Adipocytes	NA	0.006	collagen type V alpha 3 chain	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.125	0.000941915	0.00731848
Mm Hs	STEAP4	Adipocytes	FLJ23153|TIARP|STAMP2|SchLAH|TNFAIP9	0.007	STEAP4 metalloreductase	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00596546	0.0
Mm Hs	CCL11	Adipocytes	eotaxin|MGC22554|SCYA11	0.008	C-C motif chemokine ligand 11	protein-coding gene	1	Mesoderm	Connective tissue	0.0	0.0	0.00313972	0.00969378
Mm Hs	NR1H3	Adipocytes	LXR-a|RLD-1|LXRa	0.008	nuclear receptor subfamily 1 group H member 3	protein-coding gene	NA	Mesoderm	Connective tissue	0.0	0.125	0.00973312	0.00751107
